text,bias,bias_BABESG2,objective_BABESG2,partly-subjective_BABESG2,subjective_BABESG2,nonpartisan_headline,slight-partisan_headline,hyperpartisan_headline,nonpartisan_article,slight-partisan_article,hyperpartisan_article,true_LIAR,mostly-true_LIAR,half-true_LIAR,barely-true_LIAR,false_LIAR,pants-fire_LIAR,bluff_FakeNewsTFG,negative_NewsMTSC,neutral_NewsMTSC,positive_NewsMTSC
"Activist Dorian Wilde said anti-LGBT statements from officials cause stigma and discrimination towards the community, and transgender people in particular have to bear the brunt of the hatred due to their visibility.",0,0.062496237,0.9969022,0.002536129,0.0005615827,0.00070807716,0.9955029,0.003789032,0.011699826,0.8207994,0.16750072,0.008342351,0.024062723,0.39129883,0.25607938,0.3116792,0.00853755,0.00053345994,0.010451687,0.9871984,0.0023499357
"U.S. President Donald Trump retweeted a video showing one of his supporters in Florida shouting “white power” at protesters of his administration, drawing rebukes from allies and adversaries as protests continue in the aftermath of George Floyd’s death.",1,0.6161256,0.9976042,0.0019776018,0.00041822653,0.017055186,0.93855745,0.04438739,0.0016107144,0.0009913258,0.9973979,0.014166232,0.028830629,0.5377808,0.2752995,0.1312451,0.01267771,0.0010775452,0.99267006,0.0068907286,0.00043922086
"Everything in the progressive agenda is aimed at dismantling nationhood, hence the creation of strains of victimhood according to gender and ethnicity.",1,0.92449087,0.0006090459,0.0043255403,0.9950655,0.00020919982,0.99186474,0.007925993,0.0016613355,0.00538129,0.99295735,0.0052206176,0.013751029,0.1440458,0.2746832,0.55582756,0.006471824,0.2233087,0.53782225,0.0073490413,0.45482874
"Even pro-life leaders have expressed their approval of using vaccines produced with fetal cell lines, in cases with no alternative.",0,0.15270925,0.9945846,0.005081214,0.00033419658,0.0001692989,0.99960226,0.00022844227,0.021302843,0.044221085,0.93447614,0.19361095,0.5404719,0.23640877,0.008222457,0.016375331,0.004910561,0.031620197,0.00066904357,0.0016185683,0.9977124
"Backlash against marginalized communities doesn’t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.",0,0.39256242,0.989249,0.0098935515,0.00085741247,0.0035037966,0.85290784,0.1435883,0.0011642268,0.019909482,0.97892636,0.06844645,0.14381145,0.6627926,0.0323225,0.09010389,0.0025230723,0.17339194,0.99592966,0.0027937968,0.0012765002
"The U.S. debate over restrictions for fighting the coronavirus intensified on Monday, as protesters labeled mandatory lockdowns as “tyranny,” while medical workers and health experts cautioned that lifting them too soon risked unleashing a greater disaster.",0,0.0546,0.99580127,0.0037363244,0.00046234284,0.99915445,0.0003755232,0.00047004415,0.008468783,0.012473536,0.97905767,0.012918586,0.018015945,0.27484113,0.48878002,0.18984292,0.0156014,0.00024151633,0.99736977,0.0018702189,0.0007599719
"Andreyah Garland, a 44-year-old single mother of three daughters, bought a shotgun in May for protection in the quaint middle-class town of Fishkill, New York. ",1,0.9531819,0.9962812,0.0029670636,0.00075174955,0.0003202202,0.99961334,6.650837e-05,0.015190752,0.9568042,0.028004976,0.009735435,0.008744268,0.07030956,0.5089163,0.39194924,0.010345132,0.0007251287,0.0026942778,0.35533804,0.64196765
The Europeans have set up a complicated barter-type system to skirt direct financial transactions with Iran and so evade possible U.S. sanctions.,1,0.80172163,0.07851244,0.9142285,0.007259098,0.9994173,0.00013347788,0.00044927368,0.3399997,0.25729918,0.40270108,0.09431686,0.37135193,0.48713562,0.015769336,0.025745498,0.0056807683,0.00025134705,0.9958728,0.002656784,0.0014704247
"Shortly before President Trump signed phase one of the historic trade deal with China, a Chinese pastor described the fear and intimidation believers are enduring under the Communist government.",0,0.16983846,0.75308436,0.24579783,0.0011178525,0.013615506,0.7013836,0.2850009,0.02780276,0.028435271,0.943762,0.020218646,0.012255484,0.16118217,0.110444926,0.6885605,0.0073383152,0.0004223677,0.017276386,0.9796204,0.0031032332
"As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, offended by his bullying demeanor and chaotic style.",1,0.95147556,0.012716615,0.9791316,0.008151773,0.0025489463,0.034032617,0.9634185,0.0005034638,0.0023286378,0.9971679,0.016382597,0.061830536,0.76647484,0.101747096,0.045133177,0.008431781,0.022689523,0.99597734,0.0006628864,0.0033598098
