text,bias,bias_BABESG2,objective_BABESG2,partly-subjective_BABESG2,subjective_BABESG2,nonpartisan_headline,slight-partisan_headline,hyperpartisan_headline,nonpartisan_article,slight-partisan_article,hyperpartisan_article,true_LIAR,mostly-true_LIAR,half-true_LIAR,barely-true_LIAR,false_LIAR,pants-fire_LIAR,bluff_FakeNewsTFG,negative_NewsMTSC,neutral_NewsMTSC,positive_NewsMTSC
Letters from GOP members of Congress and national pro-life leaders to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to exploit the coronavirus pandemic for the purpose of advancing their party’s pro-abortion agenda.,1,0.86397606,0.898398,0.101065725,0.0005362024,0.14118975,0.65758234,0.20122795,0.0004902546,0.0014487527,0.9980609,0.0115004005,0.007012232,0.07558189,0.086666286,0.8134934,0.00574579,0.0031190403,0.99594575,0.003330264,0.00072398706
"U.S. President Donald Trump retweeted a video showing one of his supporters in Florida shouting “white power” at protesters of his administration, drawing rebukes from allies and adversaries as protests continue in the aftermath of George Floyd’s death.",1,0.5380144,0.9976042,0.0019776018,0.00041822653,0.017055186,0.93855745,0.04438739,0.0016107144,0.0009913258,0.9973979,0.014166232,0.028830629,0.5377808,0.2752995,0.1312451,0.01267771,0.0010775452,0.99267006,0.0068907286,0.00043922086
"Everything in the progressive agenda is aimed at dismantling nationhood, hence the creation of strains of victimhood according to gender and ethnicity.",1,0.95498216,0.0006090459,0.0043255403,0.9950655,0.00020919982,0.99186474,0.007925993,0.0016613355,0.00538129,0.99295735,0.0052206176,0.013751029,0.1440458,0.2746832,0.55582756,0.006471824,0.2233087,0.53782225,0.0073490413,0.45482874
"Even pro-life leaders have expressed their approval of using vaccines produced with fetal cell lines, in cases with no alternative.",0,0.17346756,0.9945846,0.005081214,0.00033419658,0.0001692989,0.99960226,0.00022844227,0.021302843,0.044221085,0.93447614,0.19361095,0.5404719,0.23640877,0.008222457,0.016375331,0.004910561,0.031620197,0.00066904357,0.0016185683,0.9977124
"The U.S. debate over restrictions for fighting the coronavirus intensified on Monday, as protesters labeled mandatory lockdowns as “tyranny,” while medical workers and health experts cautioned that lifting them too soon risked unleashing a greater disaster.",0,0.077795655,0.99580127,0.0037363244,0.00046234284,0.99915445,0.0003755232,0.00047004415,0.008468783,0.012473536,0.97905767,0.012918586,0.018015945,0.27484113,0.48878002,0.18984292,0.0156014,0.00024151633,0.99736977,0.0018702189,0.0007599719
"Shortly before President Trump signed phase one of the historic trade deal with China, a Chinese pastor described the fear and intimidation believers are enduring under the Communist government.",0,0.30536464,0.75308436,0.24579783,0.0011178525,0.013615506,0.7013836,0.2850009,0.02780276,0.028435271,0.943762,0.020218646,0.012255484,0.16118217,0.110444926,0.6885605,0.0073383152,0.0004223677,0.017276386,0.9796204,0.0031032332
"As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, offended by his bullying demeanor and chaotic style.",1,0.95546305,0.012716615,0.9791316,0.008151773,0.0025489463,0.034032617,0.9634185,0.0005034638,0.0023286378,0.9971679,0.016382597,0.061830536,0.76647484,0.101747096,0.045133177,0.008431781,0.022689523,0.99597734,0.0006628864,0.0033598098
"Yet MLB, with an exhaustive 100+ page health and safety operations manual, will attempt to become the first major sport to return on July 23 with two nationally televised games, and the rest of the teams scheduled to start July 24.\",0,0.111569084,0.754029,0.24058679,0.005384261,0.0002932025,0.99946827,0.00023851247,0.0031100758,0.9885423,0.008347662,0.012137716,0.029533153,0.3643451,0.12344264,0.4656341,0.0049072723,0.21911319,0.003300774,0.9827666,0.0139325885
"Over 70,000 women in Germany have been subjected to female genital mutilation (FGM), and a further 17,000 young girls are at risk of having the barbaric procedure being committed against them.",1,0.892545,0.99628276,0.003050057,0.00066727586,0.0062129167,0.9843016,0.009485446,0.102976136,0.2724761,0.6245478,0.04647685,0.37861872,0.53786856,0.018032953,0.011793603,0.007209326,0.0005578883,0.9960316,0.0024871384,0.0014812878
"Using the same alarmist language he has employed to describe illegal immigration, Trump painted Democrat-led cities as out of control and lashed out at the “radical left,” which he blamed for rising violence in some cities, even though criminal justice experts say it defies easy explanation.",1,0.9648394,0.016499927,0.97984767,0.00365246,0.0021225766,0.018528916,0.97934854,0.00025501518,0.0012320625,0.9985129,0.014161961,0.03366076,0.5001229,0.34453684,0.08180824,0.025709294,0.0002903515,0.99839574,0.000642975,0.0009613361
"Cuban slave doctors that have escaped the system have said that, while working abroad, the Castro regime forced them to invent patients and throw away perfectly good medicine to boost the statistics on the number of patients Cuban doctors actually treat.",1,0.9299417,0.77699,0.2221081,0.0009019071,0.00044106523,0.98910743,0.0104515,0.014857508,0.940087,0.045055512,0.033345897,0.13216777,0.79797745,0.017328585,0.0129818525,0.006198466,0.0016528851,0.99819607,0.00089626096,0.00090772175
"Should China be the first country to develop an effective vaccine, dictator Xi Jinping has promised to provide the world with “free” coronavirus vaccines paid for by Beijing. ",1,0.3794457,0.99745554,0.0020438456,0.0005005532,0.9746396,0.02317111,0.0021892593,0.010522982,0.03472164,0.9547554,0.009297013,0.030650036,0.45863035,0.2676017,0.22541015,0.008410817,0.0016205674,0.0017716597,0.00075681886,0.9974716
Trump proceeded to ignore multiple other attempts made over subsequent weeks by his advisers and Republican allies to get him to take the pandemic seriously. Instead he dismissed their warnings as “alarmist” and would go on to hold a number of rallies (seven) and golfing outings (three) between learning of Obama’s pandemic playbook and ultimately declaring a national emergency.,1,0.910256,0.097505964,0.8995041,0.0029898933,0.038922373,0.054464296,0.90661335,0.0003949708,0.0014842435,0.99812084,0.010010996,0.025060514,0.5030715,0.36439046,0.08409797,0.013368597,0.0005736576,0.99821836,0.0011768343,0.00060472294
"Biden has promised to prohibit the sale of military-style rifles and high-capacity magazines, similar to a 10-year ban that expired in 2004.",0,0.08708628,0.995751,0.0030027723,0.0012461669,0.0031079939,0.9964127,0.00047935752,0.43059385,0.26532534,0.30408084,0.009676476,0.041088153,0.75164735,0.1439009,0.047823247,0.005863837,0.00029811615,0.06295333,0.93240696,0.0046396824
"At any other time, the U.S. would have led efforts and coordinated global fights against epidemics, but the science-averse Trump administration had already axed the CDC expert in China.",1,0.96060586,0.038668785,0.95277876,0.0085525075,0.8327004,0.03997683,0.12732272,0.018564785,0.04847368,0.9329615,0.052727982,0.050089583,0.62819123,0.05041661,0.21479572,0.0037788919,0.00028307416,0.9975274,0.0016820196,0.00079051347
"As a candidate, Trump recognized that China was taking our jobs, stealing our intellectual property, and using the United States as its piggy bank.",1,0.955986,0.00058214954,0.0045727207,0.99484503,0.0010751511,0.017359301,0.9815656,0.00048353284,0.00088312785,0.9986333,0.01088746,0.013330656,0.15116149,0.5732325,0.22847125,0.022916721,0.00026562455,0.99813783,0.0009872192,0.0008749702
An avowed white supremacist pleaded guilty on Monday for planning bomb and shooting attacks at a synagogue and LGBTQ bar in Las Vegas. ,0,0.064644724,0.9975737,0.0018938421,0.00053252274,0.00015614412,0.9995664,0.00027744556,0.0021743001,0.0046337936,0.9931919,0.0057797804,0.0055276616,0.049597196,0.15194984,0.7831373,0.0040082787,0.00028008063,0.99841905,0.00096206286,0.00061893614
The true elegance of ranked choice voting is that it encourages candidates to campaign and to govern in an inclusive manner that leads to better representation for everyone. It incentivizes candidates to look beyond their base and seek out second-choice support.,0,0.19583257,0.0011867208,0.008645706,0.9901675,0.0017238905,0.84873027,0.1495458,0.07103073,0.18551725,0.74345213,0.04483991,0.21053155,0.696947,0.01663826,0.027694887,0.0033483983,0.24130014,0.0007567185,0.00030905617,0.9989342
Trump's comments came during a mega-rally in the world's largest cricket stadium — part of an elaborate Indian welcome for a president who revels in pomp and pageantry.,1,0.87955683,0.70343846,0.2954791,0.0010824342,0.008336843,0.057982326,0.93368083,0.16324693,0.23745589,0.59929717,0.012226716,0.012934137,0.12636688,0.24397452,0.59718275,0.0073149726,0.0002545706,0.004313381,0.0060671647,0.98961943
"Tuesday’s nominating contests in New York, Kentucky and four other states featured progressives challenging older, establishment Democrats at a time of a national reckoning with racial injustice following the May 25 death of George Floyd, an unarmed Black man, while in Minneapolis police custody.",0,0.068784386,0.996555,0.0028169206,0.0006280924,0.0022743016,0.99691415,0.000811523,0.019050224,0.82949156,0.15145822,0.0149716735,0.020375907,0.253987,0.44797748,0.24758065,0.015107302,0.0007850437,0.47880438,0.013355184,0.50784045
"As the deadly COVID-19 contagion sweeps across the country, gun sales are surging, spurred in many regions by panic buying and purchases by first-time firearm owners. ",1,0.92525613,0.22484693,0.7720156,0.0031374712,0.0008270841,0.9982811,0.00089187355,0.005930333,0.97497094,0.019098775,0.013646455,0.02281055,0.282371,0.513973,0.14614673,0.02105226,0.020422902,0.99350387,0.0044210837,0.002075065
The House Democrats’ coronavirus recovery bill allows several hundred thousand foreign workers to get college jobs or blue-collar jobs while millions of Americans lose their careers.,0,0.50983685,0.4401768,0.55800474,0.0018184052,0.0011997593,0.99862075,0.00017949785,0.0042521846,0.008560592,0.98718715,0.0062307143,0.018303588,0.44125873,0.39089704,0.13444442,0.008865568,0.00030089647,0.9842727,0.013346234,0.002381094
Lawmakers specifically said they want to protect women from facing unfair competition from men who claim to be transgender women.,1,0.30643374,0.9969995,0.0022349965,0.0007655104,0.0022222693,0.996833,0.00094467885,0.1634709,0.82944995,0.0070792106,0.012136882,0.02370468,0.3003362,0.13567793,0.5230069,0.0051373546,0.00037885926,0.025386086,0.007218472,0.9673954
"Last week, black transgender woman Iyanna Dior was beaten by a mob at a gas station in Minneapolis, and video of the attack has gone viral online with millions of viewers.",0,0.107159,0.99717015,0.0021961418,0.0006337598,0.00025125188,0.9996275,0.00012127244,0.019325325,0.6067723,0.37390235,0.014283814,0.032599173,0.49226245,0.32242844,0.12777022,0.0106559275,0.0010939111,0.99712974,0.0020192713,0.00085100567
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.",0,0.096549,0.9940544,0.0050120996,0.00093356095,0.14676724,0.84913635,0.004096363,0.023128415,0.6060565,0.3708151,0.025858916,0.19763373,0.7541252,0.014838459,0.0052166525,0.0023270915,0.00035938714,0.0029983292,0.0005060716,0.99649566
"Middle-class exodus: From 2007 to 2016, California lost a net million residents — some 2.5% of its population (which still grows due to births and immigration). ",1,0.7745935,0.9961855,0.0027511686,0.0010633311,0.00024086969,0.9996611,9.7996504e-05,0.008587662,0.9830483,0.008364006,0.032197963,0.2484998,0.70157486,0.010044445,0.0057270294,0.0019559613,0.0009077097,0.96590436,0.032256015,0.001839711
